I,O,R,W,Econ,Avg,SR,4W,5W,4s,6s,Dots,Training module
6,41.3,274,5,6.6,54.8,49.8,0,0,37,5,141,Technical Skills
6,49,261,4,5.33,65.25,73.5,0,0,34,0,168,Tactics and Strategy
1,7,44,1,6.29,44,42,0,0,5,0,24,Technical Skills
2,12,62,2,5.17,31,36,0,0,7,1,46,Tactics and Strategy
1,10,34,2,3.4,17,30,0,0,1,0,32,Tactics and Strategy
3,11,64,0,5.82,0,0,0,0,4,2,30,Technical Skills
4,15,85,1,5.67,85,90,0,0,4,1,36,Technical Skills
3,21,122,1,5.81,122,126,0,0,13,1,55,Technical Skills
1,7.2,45,0,6.14,0,0,0,0,3,0,17,Technical Skills
6,40,228,6,5.7,38,40,1,0,30,5,147,Technical Skills
1,1,7,0,7,0,0,0,0,0,1,4,Technical Skills
8,63.3,396,20,6.24,19.8,19.05,1,0,47,11,214,Technical Skills
5,48,281,6,5.85,46.83,48,0,0,30,1,160,Technical Skills
5,35,163,4,4.66,40.75,52.5,0,0,14,1,109,Tactics and Strategy
3,18.2,114,2,6.22,57,55,0,0,9,6,56,Technical Skills
2,20,108,5,5.4,21.6,24,0,0,7,3,65,Tactics and Strategy
20,158.3,654,34,4.13,19.24,27.97,2,0,45,13,574,Technical Skills
8,26,162,4,6.23,40.5,39,0,0,12,5,68,Technical Skills
5,8,68,2,8.5,34,24,0,0,4,4,14,Technical Skills
22,167.5,667,47,3.97,14.19,21.43,0,1,78,7,686,Technical Skills
10,40,233,6,5.82,38.83,40,0,0,11,9,98,Technical Skills
12,94.4,495,12,5.23,41.25,47.33,0,0,34,13,291,Tactics and Strategy
24,155.3,843,12,5.42,70.25,77.75,0,0,54,18,416,Technical Skills
5,22.3,121,4,5.38,30.25,33.75,0,0,14,0,75,Tactics and Strategy
7,68,309,12,4.54,25.75,34,0,0,19,12,250,Tactics and Strategy
1,10,70,1,7,70,60,0,0,7,1,22,Technical Skills
10,74.4,473,10,6.33,47.3,44.8,0,0,43,7,204,Technical Skills
5,34.1,131,3,3.83,43.67,68.33,0,0,10,0,112,Tactics and Strategy
6,16.2,101,1,6.18,101,98,0,0,8,3,39,Technical Skills
7,45.3,242,6,5.32,40.33,45.5,1,0,33,1,172,Tactics and Strategy
1,1,19,0,19,0,0,0,0,3,1,1,Technical Skills
3,23,98,1,4.26,98,138,0,0,7,2,85,Tactics and Strategy
11,77,383,9,4.97,42.56,51.33,0,0,43,1,266,Tactics and Strategy
20,192.2,808,20,4.2,40.4,57.7,0,0,45,9,636,Technical Skills
9,79,533,16,6.75,33.31,29.62,0,0,50,16,227,Technical Skills
5,21,133,3,6.33,44.33,42,0,0,13,2,50,Technical Skills
10,84,577,11,6.87,52.45,45.82,1,0,63,16,260,Technical Skills
2,14,132,3,9.43,44,28,0,0,8,9,34,Technical Skills
13,95.3,560,15,5.86,37.33,38.2,0,0,56,4,262,Technical Skills
8,62.4,303,7,4.84,43.29,53.71,0,0,37,2,225,Tactics and Strategy
3,13,89,2,6.85,44.5,39,0,0,5,2,27,Technical Skills
4,24.1,132,6,5.46,22,24.17,1,0,12,0,82,Tactics and Strategy
2,7,29,1,4.14,29,42,0,0,3,0,40,Tactics and Strategy
1,9.4,53,1,5.48,53,58,0,0,6,1,31,Tactics and Strategy
7,63.5,280,6,4.39,46.67,63.83,0,0,18,3,199,Tactics and Strategy
6,55,307,13,5.58,23.62,25.38,0,0,34,5,183,Technical Skills
